"Author Name","Author Date","Committer Date","Message","URL"
"Simon Munzert","2017-03-21T08:54:27Z","2017-03-21T08:54:27Z","Update README.md","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/d780f947275093187b5a4d09dfebd393cc788558"
"Simon Munzert","2017-01-13T12:03:51Z","2017-01-13T12:03:51Z","updated materials","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/960423e9c87f372ba07fdcef73b058352ce6fcf9"
"Simon Munzert","2016-10-13T22:35:44Z","2016-10-13T22:35:44Z","update after selenium fail","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/40a48afe90d1e938ef34e5b0930f53659d666950"
"Simon Munzert","2016-10-12T14:20:14Z","2016-10-12T14:20:14Z","updated data+code","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/ee15ee25686b6b5a5db841192c2ad058aa9742e4"
"Simon Munzert","2016-09-19T13:14:11Z","2016-09-19T13:14:11Z","Update README.md","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/b31322eba9ab2880f9914adad6feebb9b7ce7266"
"Simon Munzert","2016-09-19T13:13:25Z","2016-09-19T13:13:25Z","Update README.md","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/16eb7f151bbe0ed57b0e7d5fdd9dad057767d7d0"
"Simon Munzert","2016-09-19T13:11:34Z","2016-09-19T13:11:34Z","Delete slidesJSM2016.pdf","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/6b120f04698922c4082a94fe89ddaec81b4ed57e"
"Simon Munzert","2016-08-15T13:14:48Z","2016-08-15T13:14:48Z","code update","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/c04fd91fec711df65c838e07723125155a7f2cda"
"Simon Munzert","2016-07-30T18:14:59Z","2016-07-30T18:14:59Z","added solution to breweries dash encoding issue","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/a54385e79355637c6861ef3cc52c474471806011"
"Simon Munzert","2016-07-30T14:14:33Z","2016-07-30T14:14:33Z","update admin rights","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/cbe2062649b5e5c8e53f1af828d34a00ff886ee9"
"Simon Munzert","2016-07-30T01:11:03Z","2016-07-30T01:11:17Z","code adaptations","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/2a7a7ff43fe800e8837dcd048ecb682ddd9b8192"
"Simon Munzert","2016-07-20T13:31:27Z","2016-07-20T13:31:27Z","update resources","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/d68ee0cd6ed703bca2122722a42c636a75f86135"
"Simon Munzert","2016-07-20T13:22:37Z","2016-07-20T13:22:37Z","update resources","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/6e986316c2710f496a1f8053fe7c05c1ca74d024"
"Simon Munzert","2016-07-20T13:19:16Z","2016-07-20T13:19:16Z","Merge remote-tracking branch 'origin/master'

# Conflicts:
#	README.md","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/4d3f6b4727db3e0e5793e93f4957ac632344dba3"
"Simon Munzert","2016-07-20T13:17:34Z","2016-07-20T13:17:34Z","updated materials","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/2e6ed52e01dd9c4ea9751fb5bca59ea87f78154e"
"Simon Munzert","2016-07-20T11:01:25Z","2016-07-20T11:01:25Z","updated course info","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/fcfc279d32629f2c54c50be6d457cbd2179be3e5"
"Simon Munzert","2016-07-20T10:18:49Z","2016-07-20T10:18:49Z","update technical setup","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/555f7b4f9cacae6dab93e100cf9d6cc2b091234a"
"Simon Munzert","2016-07-20T10:11:31Z","2016-07-20T10:11:31Z","updated course info","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/e03512ef3391fe7e7e8a6ae1d85fb4741cf79f59"
"Simon Munzert","2016-07-20T10:05:56Z","2016-07-20T10:05:56Z","updated course info","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/fcb46782144d547e80edcc54b9fea44b6bf06751"
"Simon Munzert","2016-07-20T10:03:38Z","2016-07-20T10:03:38Z","updated course info","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/41a227b3d537e5b5b4c6a241b37e1780e0c2299a"
"Simon Munzert","2016-07-18T21:43:54Z","2016-07-18T21:43:54Z","updated resources table","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/d89f8be9ff7e22fff0b24d9c5eb7328e165e901f"
"Simon Munzert","2016-07-18T21:30:42Z","2016-07-18T21:30:42Z","added table of resources","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/e201e81ee1fa52a07accaa9a73f35b1a756f9cae"
"Simon Munzert","2016-07-18T11:28:01Z","2016-07-18T11:28:01Z","added resources","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/f01e170a4e715f68d8455c9ebb8c16d6a0b18972"
"Simon Munzert","2016-07-18T11:25:55Z","2016-07-18T11:25:55Z","Initial commit","https://api.github.com/repos/simonmunzert/web-scraping-with-r-extended-edition/commits/f77506c7b92070e04fe1072abb209361c9db69dc"
