"repo_group_id","rg_name","rg_description","rg_website","rg_recache","rg_last_modified","rg_type","tool_source","tool_version","data_source","data_collection_date"
"1","Default Repo Group","The default repo group created by the schema generation script","",1,"2019-06-03 15:55:20","GitHub Organization","load","one","git","2019-06-05 13:36:25"
"10","Default Repo Group","The default repo group created by the schema generation script","",1,"2021-06-03 15:55:20","GitHub Organization","load","one","git","2019-06-05 13:36:25"
"25430","Frontend Repos","DO NOT DELETE OR FRONTEND REPOS WILL BREAK","",1,"2023-02-17 15:00:00",NULL,NULL,NULL,NULL,NULL
"25431","chaoss","","",1,"2023-04-29 19:00:35","Unknown","Loaded by user","1.0","Git",NULL
"25432","jupyterhub","","",1,"2023-04-30 20:32:46","Unknown","Loaded by user","1.0","Git",NULL
"25433","eka","","",1,"2023-04-30 20:33:52","Unknown","Loaded by user","1.0","Git",NULL
"25434","ecker","","",1,"2023-04-30 20:34:33","Unknown","Loaded by user","1.0","Git",NULL
"25435","lockss","","",1,"2023-04-30 20:34:40","Unknown","Loaded by user","1.0","Git",NULL
"25436","dle","","",1,"2023-04-30 20:35:22","Unknown","Loaded by user","1.0","Git",NULL
"25437","artefactual","","",1,"2023-04-30 21:08:43","Unknown","Loaded by user","1.0","Git",NULL
"25438","archivesspace","","",1,"2023-04-30 21:08:58","Unknown","Loaded by user","1.0","Git",NULL
"25439","veyon","","",1,"2023-04-30 21:09:07","Unknown","Loaded by user","1.0","Git",NULL
"25440","ProjectMirador","","",1,"2023-04-30 21:09:16","Unknown","Loaded by user","1.0","Git",NULL
"25441","YuLab-SMU","","",1,"2023-04-30 21:15:48","Unknown","Loaded by user","1.0","Git",NULL
"25442","DSpace","","",1,"2023-04-30 21:16:47","Unknown","Loaded by user","1.0","Git",NULL
"25443","Parsl","","",1,"2023-04-30 21:17:08","Unknown","Loaded by user","1.0","Git",NULL
"25444","zotero","","",1,"2023-04-30 21:17:23","Unknown","Loaded by user","1.0","Git",NULL
"25445","vufind-org","","",1,"2023-04-30 21:18:06","Unknown","Loaded by user","1.0","Git",NULL
"25446","IQSS","","",1,"2023-04-30 21:18:16","Unknown","Loaded by user","1.0","Git",NULL
"25447","rstudio","","",1,"2023-04-30 21:20:02","Unknown","Loaded by user","1.0","Git",NULL
"25448","jupyter","","",1,"2023-04-30 21:24:40","Unknown","Loaded by user","1.0","Git",NULL
"25449","rails","","",1,"2023-04-30 21:25:56","Unknown","Loaded by user","1.0","Git",NULL
"25450","archimatetool","","",1,"2023-04-30 21:27:29","Unknown","Loaded by user","1.0","Git",NULL
"25451","ropensci","","",1,"2023-04-30 21:27:36","Unknown","Loaded by user","1.0","Git",NULL
"25452","PublicMapping","","",1,"2023-04-30 21:32:17","Unknown","Loaded by user","1.0","Git",NULL
"25453","JabRef","","",1,"2023-04-30 21:32:24","Unknown","Loaded by user","1.0","Git",NULL
"25454","Islandora","","",1,"2023-04-30 21:33:59","Unknown","Loaded by user","1.0","Git",NULL
"25455","fcrepo4","","",1,"2023-04-30 21:34:56","Unknown","Loaded by user","1.0","Git",NULL
"25456","Bioconductor","","",1,"2023-04-30 22:15:34","Unknown","Loaded by user","1.0","Git",NULL
"25457","ropenscilabs","","",1,"2023-04-30 22:19:14","Unknown","Loaded by user","1.0","Git",NULL
"25458","aeproject","","",1,"2023-04-30 22:19:31","Unknown","Loaded by user","1.0","Git",NULL
"25459","amvera","","",1,"2023-04-30 22:19:32","Unknown","Loaded by user","1.0","Git",NULL
"25460","ePADD","","",1,"2023-04-30 22:19:34","Unknown","Loaded by user","1.0","Git",NULL
"25461","CornellLabofOrnithology","","",1,"2023-04-30 22:19:41","Unknown","Loaded by user","1.0","Git",NULL
"25462","aoss","","",1,"2023-04-30 22:51:50","Unknown","Loaded by user","1.0","Git",NULL
"25463","flycloudline","","",1,"2023-05-01 19:38:43","Unknown","Loaded by user","1.0","Git",NULL
"25464","qAIRa","","",1,"2023-05-01 19:38:54","Unknown","Loaded by user","1.0","Git",NULL
"25465","nubianvr-source","","",1,"2023-05-01 19:38:59","Unknown","Loaded by user","1.0","Git",NULL
"25466","OpenSRP","","",1,"2023-05-01 19:39:15","Unknown","Loaded by user","1.0","Git",NULL
"25467","Ideasis","","",1,"2023-05-01 20:17:34","Unknown","Loaded by user","1.0","Git",NULL
"25468","Datawheel","","",1,"2023-05-01 20:17:36","Unknown","Loaded by user","1.0","Git",NULL
"25469","VRMakerTeam","","",1,"2023-05-01 20:18:21","Unknown","Loaded by user","1.0","Git",NULL
"25470","RentadroneCL","","",1,"2023-05-01 20:18:29","Unknown","Loaded by user","1.0","Git",NULL
"25471","jellow-aac","","",1,"2023-05-01 20:18:44","Unknown","Loaded by user","1.0","Git",NULL
"25472","dymaxionlabs","","",1,"2023-05-01 20:18:48","Unknown","Loaded by user","1.0","Git",NULL
"25473","Veativetech","","",1,"2023-05-01 20:19:33","Unknown","Loaded by user","1.0","Git",NULL
"25474","xiaoyudi-China","","",1,"2023-05-01 20:19:37","Unknown","Loaded by user","1.0","Git",NULL
"25475","Prescrypto","","",1,"2023-05-01 20:19:43","Unknown","Loaded by user","1.0","Git",NULL
"25476","eKitabu","","",1,"2023-05-01 20:20:12","Unknown","Loaded by user","1.0","Git",NULL
"25477","afinidata2019","","",1,"2023-05-01 20:20:23","Unknown","Loaded by user","1.0","Git",NULL
"25478","native-labs","","",1,"2023-05-01 20:20:32","Unknown","Loaded by user","1.0","Git",NULL
"25479","w3-engineers","","",1,"2023-05-01 20:20:34","Unknown","Loaded by user","1.0","Git",NULL
"25480","leng","","",1,"2023-05-01 20:20:45","Unknown","Loaded by user","1.0","Git",NULL
"25481","Imisi3D","","",1,"2023-05-01 20:20:47","Unknown","Loaded by user","1.0","Git",NULL
"25482","Coinsence","","",1,"2023-05-01 20:21:04","Unknown","Loaded by user","1.0","Git",NULL
"25483","kimetrica","","",1,"2023-05-01 20:21:18","Unknown","Loaded by user","1.0","Git",NULL
"25484","Robertkeli","","",1,"2023-05-01 20:22:03","Unknown","Loaded by user","1.0","Git",NULL
"25485","kvklrao","","",1,"2023-05-01 20:22:17","Unknown","Loaded by user","1.0","Git",NULL
"25486","Ilhasoft","","",1,"2023-05-01 20:22:20","Unknown","Loaded by user","1.0","Git",NULL
"25487","BioverseLTDA","","",1,"2023-05-01 20:23:56","Unknown","Loaded by user","1.0","Git",NULL
"25488","dio","","",1,"2023-05-01 20:23:59","Unknown","Loaded by user","1.0","Git",NULL
"25489","bioconductor","","",1,"2023-05-03 22:28:17","Unknown","Loaded by user","1.0","Git",NULL
"25490","Mizzou-Computing-Association","","",1,"2023-05-04 01:06:01","Unknown","Loaded by user","1.0","Git",NULL
"25491","apache","","",1,"2023-05-04 17:40:51","Unknown","Loaded by user","1.0","Git",NULL
"25492","RIOT-OS","","",1,"2023-05-04 18:18:43","Unknown","Loaded by user","1.0","Git",NULL
"25493","Samsung","","",1,"2023-05-04 18:18:45","Unknown","Loaded by user","1.0","Git",NULL
"25494","ARMmbed","","",1,"2023-05-04 18:18:53","Unknown","Loaded by user","1.0","Git",NULL
"25495","zephyrproject-rtos","","",1,"2023-05-04 18:19:31","Unknown","Loaded by user","1.0","Git",NULL
"25496","aws","","",1,"2023-05-04 18:19:38","Unknown","Loaded by user","1.0","Git",NULL
"25497","SociallyCompute","","",1,"2023-05-04 18:19:54","Unknown","Loaded by user","1.0","Git",NULL
"25498","Projectblacklight","","",1,"2023-05-09 22:55:49","Unknown","Loaded by user","1.0","Git",NULL
"25499","Vufind-org","","",1,"2023-05-09 23:01:10","Unknown","Loaded by user","1.0","Git",NULL
"25500","Folio-org","","",1,"2023-05-09 23:08:32","Unknown","Loaded by user","1.0","Git",NULL
"25501","OpenAMP","","",1,"2023-05-09 23:18:32","Unknown","Loaded by user","1.0","Git",NULL
"25502","azure","","",1,"2023-05-09 22:58:54","Unknown","Loaded by user","1.0","Git",NULL
"25503","microsoft","","",1,"2023-05-09 23:20:07","Unknown","Loaded by user","1.0","Git",NULL
"25504","saltstack","","",1,"2023-05-16 01:14:51","Unknown","Loaded by user","1.0","Git",NULL
"25505","google","","",1,"2023-05-16 01:17:31","Unknown","Loaded by user","1.0","Git",NULL
"25506","bokeh","","",1,"2023-05-18 21:32:08","Unknown","Loaded by user","1.0","Git",NULL
"25507","yt","","",1,"2023-05-18 21:32:11","Unknown","Loaded by user","1.0","Git",NULL
"25508","projectmesa","","",1,"2023-05-18 21:32:12","Unknown","Loaded by user","1.0","Git",NULL
"25509","sgkit","","",1,"2023-05-18 21:32:13","Unknown","Loaded by user","1.0","Git",NULL
"25510","numpy","","",1,"2023-05-18 21:32:14","Unknown","Loaded by user","1.0","Git",NULL
"25511","gensim","","",1,"2023-05-18 21:32:16","Unknown","Loaded by user","1.0","Git",NULL
"25512","pyhf","","",1,"2023-05-18 21:32:16","Unknown","Loaded by user","1.0","Git",NULL
"25513","igraph","","",1,"2023-05-18 21:32:18","Unknown","Loaded by user","1.0","Git",NULL
"25514","pandas","","",1,"2023-05-18 21:32:20","Unknown","Loaded by user","1.0","Git",NULL
"25515","stan","","",1,"2023-05-18 21:32:21","Unknown","Loaded by user","1.0","Git",NULL
"25516","jump","","",1,"2023-05-18 21:32:23","Unknown","Loaded by user","1.0","Git",NULL
"25517","xgi","","",1,"2023-05-18 21:32:24","Unknown","Loaded by user","1.0","Git",NULL
"25518","pyiron","","",1,"2023-05-18 21:32:25","Unknown","Loaded by user","1.0","Git",NULL
"25519","scipy","","",1,"2023-05-18 21:32:28","Unknown","Loaded by user","1.0","Git",NULL
"25520","pylops","","",1,"2023-05-18 21:32:30","Unknown","Loaded by user","1.0","Git",NULL
"25521","ipython","","",1,"2023-05-18 21:32:31","Unknown","Loaded by user","1.0","Git",NULL
"25522","nteract","","",1,"2023-05-18 21:32:32","Unknown","Loaded by user","1.0","Git",NULL
"25523","pomegranate","","",1,"2023-05-18 21:32:38","Unknown","Loaded by user","1.0","Git",NULL
"25524","geomscale","","",1,"2023-05-18 22:22:47","Unknown","Loaded by user","1.0","Git",NULL
"25525","yellowbrick","","",1,"2023-05-18 22:22:49","Unknown","Loaded by user","1.0","Git",NULL
"25526","numba","","",1,"2023-05-18 22:22:50","Unknown","Loaded by user","1.0","Git",NULL
"25527","pytorch","","",1,"2023-05-18 22:22:52","Unknown","Loaded by user","1.0","Git",NULL
