Organization,Average Releases Before Investment,Average Releases During Investment,Average Releases After Investment,Investment Start Date,Investment End Date
apache,44.05,102.25,0,2023-08-11,2024-12-31
curl,1.16,2.8,3.12,2022-10-21,2023-05-21
fortran-lang,3.76,2.5,0,2023-07-17,2024-12-31
GNOME,NA,NA,NA,2023-08-03,2024-12-31
GStreamer,NA,NA,NA,2023-10-02,2023-12-31
Lullabot,NA,NA,NA,2023-10-02,2023-12-31
NLnetLabs,NA,NA,NA,2023-10-25,2024-12-31
openjs-foundation,NA,NA,NA,2023-04-19,2024-12-31
OpenMathLib,NA,NA,NA,2023-04-19,2024-12-31
openmls,1.5,0,1.0,2022-10-12,2023-05-12
openpgpjs,2.0,1.33,1.6,2022-10-25,2023-05-25
pendulum-project,1.33,2.62,0,2023-07-12,2024-11-30
php,1.0,1.5,0,2023-11-17,2024-12-31
prefix-dev,4.33,10.5,0,2023-10-06,2024-08-31
pyca,0,1.0,0,2023-04-18,2024-06-30
qos-ch,1.5,0,0,2023-04-19,2024-12-31
rubygems,4.74,3.71,0,2023-08-08,2024-12-31
rustls,1.5,13.6,0,2023-06-07,2024-12-31
systemd,2.98,6.33,0,2023-09-14,2024-06-30
tc39,2.81,2.4,0,2023-10-19,2024-12-31
uutils,1.55,1.0,1.75,2023-10-06,2023-12-31
w3c,6.78,22.83,0,2023-10-10,2024-08-31
sequoia-pgp,0,0,1.0,2022-11-21,2023-06-21
